grade,sqft_above,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_basement,yr_built,zipcode
8,1290,430000,3,1.5,1580,5000,1,290,1939,98117
8,1290,700000,3,1.5,1580,5000,1,290,1939,98117
7,2390,905000,4,2.5,3300,10250,1,910,1946,98040
7,1960,247500,3,1.75,1960,15681,1,0,1967,98032
7,1160,199000,4,1.5,1160,6400,1,0,1975,98023
7,1210,314000,3,1.75,1810,41800,1,600,1980,98038
9,2320,437500,3,2.5,2320,36847,2,0,1992,98045
9,1270,850830,3,2.5,2070,13241,1.5,800,1910,98102
7,1440,555000,3,2,1980,3478,1.5,540,1929,98117
8,2190,699950,3,2.25,2190,107593,2,0,1983,98077
8,2920,1.09E+06,3,2.5,2920,8113,2,0,1950,98004
7,1210,290000,3,1,1210,33919,1,0,1954,98058
8,1460,375000,3,2.5,2340,10005,1,880,1978,98058
7,1170,460000,3,1,1670,4005,1.5,500,1939,98117
8,1240,188500,2,1.75,1240,2493,1,0,1985,98198
10,3140,680000,4,2.5,3140,28037,2,0,1991,98077
7,2030,470000,5,1.75,2030,12342,2,0,1942,98052
8,2310,597750,4,2.5,2310,9624,2,0,1984,98027
6,700,570000,3,1.75,1260,3328,1,560,1905,98103
7,1160,272500,3,1.75,1540,12600,1,380,1980,98038
7,1080,329950,3,1.75,2080,5969,1,1000,1971,98108
9,2520,480000,4,2.5,3230,16171,2,710,2001,98001
8,2780,740500,3,3.5,4380,6350,2,1600,1900,98117
8,1590,518500,3,3.5,1590,1102,3,0,2010,98103
6,880,205425,2,1,880,6780,1,0,1945,98178
6,1570,171800,4,2,1570,9600,1,0,1950,98168
7,1610,535000,4,1,1610,2982,1.5,0,1925,98144
8,1560,660000,3,2.5,2400,6474,1,840,1964,98177
7,1450,391500,3,2,1450,9132,1,0,1987,98034
6,770,395000,2,1,770,6000,1,0,1953,98117
7,1720,445000,4,1.75,2100,4400,1.5,380,1924,98118
9,2910,770000,3,2.25,2910,10204,2,0,1990,98052
8,1980,1.45E+06,4,2.75,2750,17789,1.5,770,1914,98004
8,1620,445000,3,2.25,2100,8201,1,480,1967,98178
8,1360,260000,4,2.25,2160,8811,1,800,1978,98023
7,1720,822500,5,3.5,2320,4960,2,600,1926,98103
7,2070,430000,4,2.5,2070,4310,2,0,2004,98065
7,1060,212000,3,1.75,1060,7875,1,0,1986,98092
8,1440,660500,4,2.25,2010,9603,1,570,1986,98027
9,2460,784000,3,3.5,3950,111078,1.5,1490,1989,98052
8,1390,453246,3,2.5,2010,2287,2,620,2014,98029
9,2140,675000,4,3.5,2140,2278,3,0,2005,98107
7,1320,199000,3,1.75,1320,17390,1,0,1956,98003
7,1010,220000,4,1.75,2020,7840,1,1010,1968,98003
8,1340,452000,4,2.25,2590,10002,1,1250,1968,98028
6,1190,382500,2,1,1190,4440,1,0,1981,98125
8,1170,519950,3,2.25,1170,1249,3,0,2014,98107
7,1110,665000,2,1,1110,3200,1,0,1925,98119
8,1550,527700,5,2.5,2820,9375,1,1270,1968,98006
7,1010,205000,3,1,1610,8579,1,600,1962,98058
7,940,420000,3,1,1060,8097,1,120,1923,98133
8,1380,500000,4,2.25,2030,8517,1,650,1961,98006
9,3670,921500,4,2.5,3670,315374,2,0,1994,98077
8,2370,890000,4,1,2550,4000,2,180,1905,98109
7,2420,430000,2,2.5,2420,60984,2,0,2007,98027
8,1130,258000,5,2,2260,12500,1,1130,1960,98032
7,980,511000,3,1,1430,3455,1,450,1947,98103
8,1360,532170,3,2,1360,3090,2,0,1990,98103
7,1110,560000,3,1,1110,5000,1.5,0,1947,98107
7,1250,282950,3,1,1250,8200,1,0,1954,98003
12,3540,2.25E+06,4,3.25,5180,19850,2,1640,2006,98006
7,700,350000,1,1,700,5100,1,0,1942,98115
7,1180,215000,3,1,1180,7669,1,0,1967,98058
9,2500,650000,5,3.5,3960,25245,2,1460,1996,98056
8,1620,320000,4,2.75,2640,7500,1,1020,1967,98023
7,1270,247000,3,2,1270,7198,1.5,0,1916,98022
8,1760,320000,4,1.75,1760,11180,1,0,1968,98059
7,1030,255000,5,2.25,2060,8632,1,1030,1962,98146
7,1780,438000,3,1.75,1780,9660,1,0,1962,98034
10,3400,900000,3,2.5,3400,16603,2,0,2000,98075
7,1160,441000,3,2.75,1910,7280,1,750,1979,98034
7,1010,420000,3,2,2020,38332,1,1010,1975,98027
7,1180,370000,3,1.75,1580,7000,1,400,1976,98034
5,700,269950,2,1.75,1340,7250,1,640,1949,98198
9,2680,807100,4,2.5,2680,4499,2,0,1999,98006
8,1610,653000,3,2.5,2680,9750,1,1070,1979,98034
7,1370,371500,3,2,1370,8336,1,0,1964,98133
7,1560,284000,3,1.75,1560,21000,1,0,1954,98166
7,1670,272000,3,1.75,2160,7140,1,490,1978,98023
7,1340,313000,3,1.5,1340,7912,1.5,0,1955,98133
10,2570,917500,4,2.5,3880,35003,2,1310,1984,98033
8,2590,673000,4,2.25,2590,8190,2,0,1980,98006
8,820,425000,3,2.5,1120,1100,2,300,2008,98122
7,1320,399950,5,2.75,1970,5400,1,650,1986,98144
6,1220,385000,3,1,1220,4800,1,0,1901,98122
7,1320,269950,3,1.5,1950,7560,1,630,1975,98022
7,1060,330000,2,1,1350,8220,1,290,1949,98177
7,1670,260000,3,2.5,1670,5797,2,0,1988,98030
7,1680,470000,4,3,2380,5125,1.5,700,1925,98126
7,2440,589000,4,3,2440,9600,2,0,1961,98034
7,1050,163500,2,1.5,1050,3419,2,0,1996,98038
9,2140,835000,4,2.75,3130,13412,2,990,1993,98052
10,2090,1.10E+06,5,3,4090,12850,1,2000,1986,98033
8,1100,269000,4,1.75,1490,10000,1,390,1969,98023
8,1900,560000,3,2.5,1900,8744,2,0,1987,98074
6,1330,615000,4,1,1330,2400,1.5,0,1901,98103
8,1430,585188,3,2.25,2230,10026,1,800,1975,98052
7,1220,305000,3,1.75,1650,9480,1,430,1977,98034
6,1190,166950,3,1,1190,8820,1,0,1959,98058
8,2140,799000,3,2.5,2140,9897,1,0,1959,98040
7,1420,400000,3,2.5,2180,7508,1,760,1962,98133
7,1060,230000,3,1,1060,10228,1,0,1948,98155
8,1690,256883,3,2.5,1690,5025,2,0,2003,98023
7,1130,423000,4,2,1970,6480,1.5,840,1920,98108
8,2150,465000,3,2.5,2150,4084,2,0,2007,98126
7,1910,440000,3,2.5,1910,66211,2,0,1997,98024
7,1350,385000,3,1.75,1350,155073,1,0,1969,98038
6,860,210000,3,1,860,11725,1,0,1943,98056
8,1940,297000,3,2.5,1940,14952,2,0,1994,98042
7,1010,470000,3,1,1010,5000,1,0,1952,98107
7,900,226500,3,1.5,1300,7370,1,400,1976,98023
6,910,274250,3,1,910,8450,1,0,1962,98059
9,1630,840000,4,1.75,2480,11010,1,850,1966,98040
8,2440,677900,3,2.5,2440,4587,2,0,2010,98052
7,1010,425000,3,1,1010,5864,1,0,1915,98116
6,900,180250,2,0.75,900,9600,1,0,1941,98166
7,1600,464000,6,3,2300,3404,2,700,1920,98133
8,1550,320000,4,2.25,1550,7579,2,0,1993,98038
8,1060,625504,3,2.25,1270,1566,2,210,2014,98105
9,2240,592500,4,2.5,2240,12032,1,0,1983,98074
9,2714,465000,3,2.5,2714,17936,2,0,2005,98001
8,1720,477000,4,2.75,1720,6270,2,0,1978,98118
6,850,280000,2,1,850,16400,1,0,1923,98168
9,1870,1.51E+06,5,3,3300,33474,1,1430,1957,98040
8,2250,445838,3,2.5,2250,5692,2,0,2000,98146
8,1950,1.07E+06,2,2.25,3900,14864,1,1950,1947,98144
8,1320,467000,2,1.5,1320,10800,1,0,1947,98177
10,2760,686000,4,2.5,2760,6440,2,0,1999,98075
7,1350,279950,3,2,1750,9750,1,400,1961,98198
8,2330,527000,4,2.25,2330,19436,2,0,1987,98011
8,1780,325000,3,2.25,2220,16020,1,440,1966,98030
7,2020,328000,3,2.25,2020,8379,2,0,1994,98038
7,1250,390000,3,2.25,1250,7500,1,0,1942,98146
8,1510,479950,2,2,1510,6516,1,0,2005,98053
7,1120,264950,4,2.25,1720,9753,1,600,1978,98023
7,980,235000,3,1,1430,15246,1,450,1961,98031
7,1480,516500,3,2.5,1480,4729,2,0,2004,98053
7,1230,655000,2,1.75,1450,15798,2,220,1915,98166
7,2280,500000,4,2.75,2280,15347,1,0,1960,98059
8,1780,315000,6,2.75,2940,7350,1,1160,1978,98023
6,1000,213000,2,1,1000,10200,1,0,1961,98024
7,1620,475000,3,1.5,2480,5280,1.5,860,1947,98108
10,3760,1.03E+06,5,4,3760,28040,2,0,1983,98033
7,1640,416000,3,2,2220,94300,1,580,1976,98010
7,1670,410000,4,1,1970,4740,1.5,300,1904,98122
10,3530,800000,3,3.5,3830,221284,2,300,1993,98077
9,2350,472000,6,2.5,4410,14034,1,2060,1965,98003
7,1430,225000,3,1.75,1430,8505,1,0,1968,98003
6,830,210000,2,1,830,6000,1,0,1940,98126
7,1430,455000,2,1,1430,5000,1.5,0,1925,98115
6,1300,225000,3,1,1300,8316,1,0,1954,98002
7,790,480000,2,1,1030,3060,1,240,1918,98103
9,2740,363000,3,2.5,2740,11872,2,0,1990,98023
9,1830,2.40E+06,4,2.5,3650,8354,1,1820,2000,98074
6,720,181000,2,1.5,720,5120,1,0,1954,98106
7,2010,250000,4,2,2010,7312,1,0,1976,98002
6,770,481000,3,1.75,1560,3000,1,790,1918,98103
7,1240,260000,3,2,1810,7209,1,570,1978,98032
9,3360,455000,4,2.5,3360,7685,2,0,2001,98058
8,1510,415000,3,2.25,1510,36224,2,0,1991,98045
7,800,349500,3,1,1400,3538,1,600,1953,98118
7,1730,245000,3,2.5,1730,7442,2,0,1987,98030
7,1420,592500,2,2,1420,9191,1.5,0,1928,98115
7,1180,385000,4,1.75,2360,7620,1,1180,1955,98106
7,1200,315000,3,1.75,1580,11455,1,380,1974,98059
7,1230,255000,3,1,1230,10170,1,0,1979,98045
8,2460,693000,4,2.5,2460,4425,2,0,2006,98052
8,1460,780000,3,1,1660,4400,1.5,200,1911,98112
7,1270,237000,3,1.75,1270,8470,1,0,1960,98198
10,1320,525000,3,2.25,2100,40510,2,780,1979,98074
5,770,425000,2,1,770,5040,1,0,1930,98144
5,760,369900,1,0.75,760,10079,1,0,1936,98070
7,1700,290000,4,2.5,1700,7280,2,0,1988,98031
7,1120,285000,3,1,1120,10701,1,0,1954,98106
7,1070,415000,2,1,1070,4500,1,0,1937,98115
8,1420,272500,3,2.5,2070,9900,1,650,1979,98023
11,4750,2.90E+06,4,3.25,5050,20100,1.5,300,1982,98004
11,5310,1.37E+06,4,4.75,5310,57346,2,0,1989,98077
7,1040,436000,2,1,1040,7538,1,0,1939,98133
7,1700,210000,3,1,1700,11390,1,0,1967,98003
7,1300,236000,3,1,1300,5898,1,0,1961,98178
7,580,331000,3,1.75,1080,1306,1,500,1954,98199
8,2653,365000,3,2.5,2653,4510,2,0,2006,98031
8,2290,450000,3,2,2290,16258,1,0,1960,98058
9,2850,770000,4,2.75,3820,26300,2,970,2014,98028
8,2210,455000,4,2.5,2210,49375,1,0,1997,98038
6,1240,405000,3,1.75,2390,6000,1,1150,1908,98118
7,1610,304900,4,1.75,2600,11325,1,990,1969,98031
6,860,170000,2,1,860,5265,1,0,1931,98178
9,2630,2.05E+06,5,3,3830,8480,2,1200,1905,98122
9,3500,780000,4,2.5,3500,7048,2,0,2005,98053
8,1740,330000,3,3,2420,13959,1,680,1988,98028
9,2720,370000,4,2.5,2720,8666,2,0,1992,98030
7,1850,467000,5,2.25,2500,13500,1,650,1979,98072
7,1140,405000,3,1.75,1670,6720,1,530,1980,98034
8,1450,675000,5,2.25,2900,10300,1,1450,1985,98006
7,1140,500000,2,1,1640,14100,1,500,1954,98006
7,1890,389999,4,2.5,1890,15770,2,0,1968,98166
8,1780,630000,4,1.75,2950,9025,1,1170,1975,98034
9,2160,360000,4,2.5,2160,9528,2,0,1992,98001
8,2270,580000,4,3,3280,11060,2,1010,1986,98056
8,1270,550000,3,2,1970,4166,2,700,1929,98126
10,3360,879000,4,2.5,3360,22111,2,0,1994,98075
7,1320,265000,3,2,1320,8959,1,0,1993,98042
8,2650,446500,3,2.5,2650,7286,2,0,1990,98059
7,1330,404000,3,1.5,2030,8880,1,700,1963,98108
7,1090,267500,3,1.75,1590,11914,1,500,1957,98188
10,2600,3.08E+06,4,5,4550,18641,1,1950,2002,98074
8,2440,335000,3,2.5,2440,7632,2,0,1998,98003
7,970,576000,3,2.5,1940,9000,1,970,1948,98117
8,2040,208633,3,2.5,2040,3810,2,0,2006,98038
7,1120,315000,3,2.25,2200,8750,1,1080,1964,98166
8,960,725000,3,1.75,1920,3300,1,960,1913,98112
8,1400,550000,4,2.75,1800,7750,1,400,1965,98177
8,2180,610750,4,2.25,2180,7297,2,0,1984,98074
6,1010,550700,2,1,1010,5000,1.5,0,1908,98105
8,2220,665000,4,2.75,3320,10574,2,1100,1960,98056
8,1980,834000,4,2.5,2370,4000,1.5,390,1928,98144
6,1660,201000,5,1.75,1660,78408,1.5,0,1915,98065
10,3370,2.38E+06,5,2.5,3650,9050,2,280,1921,98119
11,2690,1.38E+06,4,3.25,4290,12103,1,1600,1997,98006
11,2690,1.40E+06,4,3.25,4290,12103,1,1600,1997,98006
8,1350,305000,4,2.25,1950,7700,1,600,1979,98058
8,1720,487000,3,2,2590,14052,1,870,1948,98133
8,1930,390000,3,2.5,1930,64904,1,0,1988,98042
7,1170,548000,2,1,1470,3864,1,300,1916,98103
6,800,268750,4,1,800,8775,1,0,1943,98166
9,3150,819900,5,2.75,3150,7119,2,0,2013,98052
8,2030,520000,3,2.25,2030,16200,2,0,1984,98027
7,1450,230000,3,2,1450,11204,1,0,2003,98001
7,1510,240000,3,1.75,1510,10248,1,0,1969,98023
6,960,232000,2,1,1240,12092,1,280,1922,98146
6,960,240500,2,1,1240,12092,1,280,1922,98146
9,3030,274975,3,2.5,3030,45004,2,0,1987,98077
9,2050,740000,4,2,2050,4400,1.5,0,1922,98102
7,1000,186375,3,1,1000,7636,1,0,1952,98166
9,1590,790000,3,2.25,2370,10289,1,780,1977,98005
9,1890,880000,4,3.5,2800,6750,2,910,1951,98105
7,2240,279000,6,1.75,2240,11180,2,0,1955,98198
8,1810,295000,3,2,1810,10530,1,0,1991,98022
7,1070,640000,2,1,1070,5000,1,0,1924,98103
9,2490,940000,4,2,2490,9525,2,0,1968,98040
7,1960,260000,4,2.5,1960,5238,2,0,2003,98038
9,1860,559900,3,2.75,2930,5569,1,1070,2004,98072
7,1510,791500,4,2,1510,3500,1.5,0,1911,98103
7,1420,265000,3,1.75,1420,8250,1,0,1954,98133
7,1740,245000,3,1.75,1740,11547,1,0,1954,98178
7,2560,485000,4,1.75,2560,43995,2,0,1962,98052
9,2420,684000,4,3.5,3040,8414,2,620,2010,98059
8,1300,425000,3,1.75,2500,6840,1,1200,1957,98125
6,1275,309600,4,1.75,1275,20000,1,0,1991,98070
8,2580,552250,4,2.5,2580,5823,2,0,2002,98065
6,1000,165000,4,1,1000,7134,1,0,1943,98178
6,1000,239900,4,1,1000,7134,1,0,1943,98178
6,1070,320000,2,1,1070,32633,1,0,1930,98059
7,1390,206600,3,2,1390,13464,1,0,1987,98030
7,1250,387000,4,1.75,2500,7690,1,1250,1973,98155
4,560,299000,1,0.75,560,12120,1,0,1967,98014
9,2270,855000,4,2.75,2270,10460,2,0,1965,98040
7,1300,315000,3,1,1900,14400,1,600,1954,98166
7,790,437500,2,1,990,3120,1,200,1907,98103
7,1050,252000,4,1.5,1550,19800,1,500,1969,98001
7,1100,375000,4,1.75,2200,7475,1,1100,1955,98118
7,1910,300000,4,2.5,1910,4862,2,0,2005,98038
7,1750,420000,4,1,1750,9600,1.5,0,1954,98006
7,1330,900000,3,1,1330,77972,1,0,1928,98033
9,1980,679900,3,2.5,2440,5750,2,460,2000,98116
7,1640,463000,3,2.5,1640,29970,2,0,1992,98053
9,2760,380000,5,2.5,2760,11340,2,0,1978,98059
7,1820,329500,4,2.5,1820,7912,2,0,1994,98038
8,1340,604950,3,2.5,2110,5608,1,770,2013,98033
8,1640,795000,5,2.5,3040,9570,1,1400,1966,98006
7,1840,465000,3,2,1840,40438,2,0,1994,98045
9,2990,673000,4,2.5,2990,10400,2,0,2002,98166
10,3520,810000,4,2.5,3520,15420,2,0,1991,98074
8,1910,785000,4,2.75,2440,69415,1,530,1989,98075
7,1370,338000,4,3,2090,7500,1,720,1986,98056
7,1430,280000,3,2.25,1430,7222,2,0,1993,98056
7,1100,315000,4,2.25,2180,10754,1,1080,1954,98133
7,1100,530000,4,2.25,2180,10754,1,1080,1954,98133
9,3450,380000,5,3,3450,9914,2,0,2004,98023
7,1450,297000,3,2.25,1450,7562,2,0,1994,98056
10,3230,730000,4,2.5,3230,7331,2,0,2004,98075
7,1110,450000,3,1.75,1640,13500,1,530,1940,98125
7,1060,275000,3,3,1590,7750,1,530,1997,98038
7,2020,595000,4,2,2020,2849,2,0,1960,98115
7,1300,435000,3,1.5,1300,3348,1.5,0,1904,98144
6,1380,270000,2,1.5,1380,209959,1,0,1954,98011
10,3030,950000,3,3,4040,14338,2,1010,1986,98077
7,2130,389000,4,2.25,2130,5337,2,0,2001,98019
8,1580,560000,4,2.25,2550,7800,1,970,1968,98052
11,3480,1.35E+06,5,3.5,4800,14984,2,1320,1998,98006
8,2510,799000,4,2.25,2510,11585,2,0,1969,98040
7,1410,365500,3,2,1410,9600,1,0,1983,98072
7,1160,252350,3,2,1650,7352,1,490,1979,98058
8,2120,403950,4,2.5,2120,13780,2,0,1993,98146
7,1380,385000,4,1.5,2040,10726,1,660,1954,98177
7,1550,345000,4,1,1550,7620,1.5,0,1957,98106
9,1980,490000,3,2.75,1980,3128,2,0,1979,98008
8,1600,330000,3,2.5,1600,26977,2,0,2005,98019
8,3300,927000,4,2.75,3300,12090,2,0,1953,98004
10,3840,1.12E+06,4,2.5,3840,16619,2,0,1983,98040
7,1220,330000,2,1,1220,10000,1,0,1950,98028
7,1500,530000,5,2.25,2720,8800,1,1220,1958,98008
8,1940,365000,4,2,1940,25600,1,0,1962,98006
7,1260,378750,3,2.5,2160,3000,1.5,900,1909,98118
7,1530,269900,4,1.75,1530,8750,1.5,0,1968,98058
8,1290,557000,3,3.5,1710,2096,2,420,2008,98122
7,2150,360000,4,1.75,3730,16980,1,1580,1974,98022
7,940,352000,2,1,940,5000,1,0,1937,98117
8,1750,437000,3,2.5,1750,22357,2,0,1994,98045
7,1820,322500,4,2.5,1820,6753,2,0,1994,98038
9,1330,650000,3,3.25,1510,2000,2,180,2001,98116
8,1290,450000,3,2,1290,1213,3,0,2001,98103
7,1570,278500,3,2,1570,5250,1,0,1998,98092
8,1930,364950,4,2.5,1930,6957,2,0,1995,98055
10,2840,840000,4,3.5,2840,40139,1,0,1986,98038
7,1550,268000,3,2.5,1550,8134,2,0,1991,98031
5,833,517534,2,1,833,143947,1,0,2006,98070
8,2990,632925,3,2.5,2990,32239,2,0,1978,98077
9,2000,577500,3,2.5,2000,7251,2,0,1995,98034
7,2390,339000,4,1.5,2390,7480,1.5,0,1920,98178
7,1530,570000,3,1.75,2910,37461,1,1380,1967,98052
7,1610,563500,4,1.75,2085,174240,1,475,1964,98024
7,1290,423000,4,2.25,2200,9351,1,910,1962,98133
8,1860,355000,3,2.25,1860,5028,2,0,2012,98019
12,6070,1.55E+06,5,4.25,6070,171626,2,0,1999,98024
7,950,482000,2,1,950,3960,1,0,1941,98103
7,1600,625000,3,1.75,1600,9135,1,0,1955,98006
8,2250,538000,3,2.5,2250,11632,2,0,1988,98056
8,2280,380000,3,2.5,2280,10255,2,0,1985,98058
7,940,375000,2,1,940,5120,1,0,1909,98122
7,1030,245000,3,2.5,1530,8500,1,500,1996,98038
7,2190,310000,5,1.75,2190,27260,1,0,1947,98166
8,1770,1.30E+06,3,2,2350,15021,1,580,1976,98004
7,1200,397000,4,2,1440,7680,1,240,1971,98034
8,2200,365000,3,2.5,2200,4052,2,0,2005,98058
9,2290,328500,4,3,2290,8250,2,0,1990,98042
11,4040,988000,4,3,4040,19700,2,0,1987,98052
8,1920,1.00E+06,4,2.5,2610,3277,1.5,690,1922,98103
7,1490,237000,3,2.5,1490,2138,2,0,2005,98055
8,2450,525000,4,2.5,2450,5280,2,0,2003,98011
9,1440,749000,4,2.5,1710,9627,1,270,1976,98006
10,3470,722500,5,2.5,4870,11800,2,1400,1983,98074
10,3130,843000,3,2.5,3130,8750,2,0,1991,98052
8,1270,438000,2,2,1270,1372,3,0,2000,98115
8,1540,578000,3,1.75,2120,10875,1,580,1977,98146
7,1670,227950,3,1.5,1670,8230,1,0,1954,98001
7,2070,196000,3,2.25,2070,11576,2,0,1974,98001
8,1070,641000,2,1,1420,5332,1,350,1953,98105
6,1250,350000,3,1.5,1250,219978,1,0,1980,98038
7,940,205000,3,1,940,7980,1,0,1960,98032
7,1920,400000,3,1.75,1920,9102,1,0,1968,98072
10,2610,1.03E+06,3,2.5,3545,9816,1,935,2005,98027
7,1260,505000,3,2,1260,5460,1,0,1972,98034
7,1300,475000,5,2.5,2340,7200,1,1040,1975,98034
8,1440,520000,3,2.25,2590,9263,1,1150,1977,98028
10,3260,1.45E+06,3,4.5,3970,24920,2,710,1977,98034
7,1220,333500,3,1.75,1220,9732,1,0,1965,98011
6,1400,232000,3,1,1400,10403,1,0,1976,98038
8,1710,691100,3,2.75,2360,16117,1,650,1983,98006
8,1870,811000,3,1.75,1870,9897,1,0,1960,98040
9,2830,551000,3,2.5,2830,5802,2,0,2001,98028
8,2260,496500,3,2.5,2260,3640,2,0,1994,98072
9,1770,705000,3,3,1970,20978,2,200,1980,98070
9,1770,578000,4,2.5,3140,9225,1,1370,1966,98055
7,1240,255000,3,1.75,1240,8659,1,0,1986,98042
10,3450,1.05E+06,4,3.5,3450,7832,2,0,2007,98006
8,2570,348000,3,2.25,2570,8491,2,0,1989,98042
7,1510,230000,3,2,1510,3413,2,0,1985,98031
9,2390,359500,4,2.25,2390,11250,2,0,1988,98023
6,980,330000,3,1,980,7000,1,0,1953,98133
4,430,80000,1,0.75,430,5050,1,0,1912,98014
7,1480,465000,3,1.75,1480,6360,1,0,1954,98133
